dyad_season_year,dyad_ID,ID1,ID2,PackID,Species1,species2,coyote,wolf,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,LoCoOL,KernelOL,Adult
SC10F_SC13M_den_2016,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,den,nw,1,0,0,0.301886792,0.513702091,0.89165132,1
SC10F_SC13M_rend_2015,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,rend,nw,0,1,0,0.516272189,0.91498044,0.9941162,0
SC10F_SC13M_rend_2016,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,rend,nw,0,1,0,0.360119048,0.766722993,0.954016115,1
SC10F_SC13M_winter_2014_2015,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,winter,winter,0,0,1,0.419230769,0.654890201,0.963158426,0
SC10F_SC13M_winter_2015_2016,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,winter,winter,0,0,1,0.598792062,0.877561183,0.991996739,0
SC15F_SC21F_rend_2015,SC15F_SC21F,SC15F,SC21F,Zion Chapel,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,rend,nw,0,1,0,0.06505295,0.616858451,0.816881685,0
SC27M_SC31F_den_2016,SC27M_SC31F,SC27M,SC31F,Mt. Calvary,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,den,nw,1,0,0,0.34375,0.736250839,0.977602721,1
SC27M_SC31F_rend_2016,SC27M_SC31F,SC27M,SC31F,Mt. Calvary,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,rend,nw,0,1,0,0.300653595,0.862618593,0.990370903,1
SC27M_SC31F_winter_2015_2016,SC27M_SC31F,SC27M,SC31F,Mt. Calvary,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,winter,winter,0,0,1,0.697761194,0.827003503,0.979732366,0
SC27M_SC31F_winter_2016_2017,SC27M_SC31F,SC27M,SC31F,Mt. Calvary,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,winter,winter,0,0,1,0.5,0.838653997,0.992519783,1
SC53M_SC54M_den_2016,SC53M_SC54M,SC53M,SC54M,Saluda,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,den,nw,1,0,0,0.334615385,0.751543337,0.965913894,0
SC53M_SC54M_rend_2016,SC53M_SC54M,SC53M,SC54M,Saluda,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,rend,nw,0,1,0,0.207772795,0.777420067,0.981484944,0
SC53M_SC54M_winter_2015_2016,SC53M_SC54M,SC53M,SC54M,Saluda,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,winter,winter,0,0,1,0.396917148,0.723969436,0.975021185,0
SC53M_SC54M_winter_2016_2017,SC53M_SC54M,SC53M,SC54M,Saluda,coyote,coyote,1,0,0,0,0,0,SouthCarolina_Johnston,winter,winter,0,0,1,0.307432432,0.740318368,0.971076494,0
SCH_MLX_winter_2006_2007,SCH_MLX,SCH,MLX,ET,coyote,coyote,1,0,0,0,0,0,California_S_Corona,winter,winter,0,0,1,0.179294075,0.810535663,0.954985108,0
STL_URS_den_2009,STL_URS,STL,URS,Caltrans,coyote,coyote,1,0,0,0,0,0,California_N_Corona,den,nw,1,0,0,0.089783282,0.402669427,0.816049536,1
STL_URS_winter_2008_2009,STL_URS,STL,URS,Caltrans,coyote,coyote,1,0,0,0,0,0,California_N_Corona,winter,winter,0,0,1,0.051482059,0.386773519,0.633229734,1
