dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,sex_combo.1,FF,MM,FM,Same,LargePred,Exploit,largeprey,SE,NE,West,Human,PCV,Long,Lat
GA04M_GA13F_winter_2014_2015,GA04M_GA13F,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.288503254,0,female_male,0,0,1,0,0,1,1,1,0,0,0.363598273,2.756625053,-82.20646996,33.61286639
GA04M_GA14M_den_2015,GA04M_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,den,nw,1,0,0,0.058252427,0,male_male,0,1,0,1,0,1,1,1,0,0,0.361884678,2.498669659,-82.22367945,33.60360826
GA04M_GA14M_winter_2014_2015,GA04M_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.323076923,0,male_male,0,1,0,1,0,1,1,1,0,0,0.363960597,2.755682578,-82.20737646,33.61271321
GA13F_GA14M_den_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,den,nw,1,0,0,0.266903915,1,female_male,0,0,1,0,0,1,1,1,0,0,0.362270377,2.509026566,-82.20404323,33.61333529
GA13F_GA14M_rend_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,rend,nw,0,1,0,0.22,1,female_male,0,0,1,0,0,1,1,1,0,0,0.360909018,2.631473537,-82.20452485,33.61257483
GA13F_GA14M_winter_2014_2015,GA13F_GA14M,Burks Mountain,coyote,Georgia_N_Augusta,winter,winter,0,0,1,0.474437628,1,female_male,0,0,1,0,0,1,1,1,0,0,0.359566621,2.736335941,-82.20632013,33.61345232
GA32F_GA35M_rend_2016,GA32F_GA35M,Kitchens,coyote,Georgia_W_Augusta,rend,nw,0,1,0,0.632986627,1,female_male,0,0,1,0,0,1,1,1,0,0,0.185346314,3.520765089,-82.49216292,33.29911822
GA32F_GA35M_winter_2016_2017,GA32F_GA35M,Kitchens,coyote,Georgia_W_Augusta,winter,winter,0,0,1,0.522648084,1,female_male,0,0,1,0,0,1,1,1,0,0,0.211033716,2.709890242,-82.48379086,33.29772429
MIS11_MIS13_winter_2013_2014,MIS11_MIS13,Credit Valley,coyote,Ontario_Toronto,winter,winter,0,0,1,0.098475967,0,female_male,0,0,1,0,0,0,0,0,1,0,0.783806475,2.037662177,-79.6484192,43.53666174
PEC001_PEC002_rend_2010,PEC001_PEC002,group1,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.120857058,0,male_male,0,1,0,1,0,1,0,0,1,0,0.390302025,2.229946405,-77.39744074,44.06624712
PEC001_PEC002_winter_2010_2011,PEC001_PEC002,group1,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.238254759,0,male_male,0,1,0,1,0,1,0,0,1,0,0.392583756,2.258984876,-77.39709305,44.065421
PEC074_PEC079_den_2012,PEC074_PEC079,group2,coyote,Ontario_PrinceEdward,den,nw,1,0,0,0.095360825,0,female_male,0,0,1,0,0,1,0,0,1,0,0.414226517,1.887237563,-77.4467778,43.94338822
PEC074_PEC079_rend_2012,PEC074_PEC079,group2,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.171461231,0,female_male,0,0,1,0,0,1,0,0,1,0,0.390201044,2.050628738,-77.44820072,43.93875611
PEC074_PEC079_winter_2011_2012,PEC074_PEC079,group2,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.121651746,0,female_male,0,0,1,0,0,1,0,0,1,0,0.428388433,1.88695213,-77.44467004,43.94458864
PEC074_PEC082_den_2012,PEC074_PEC082,group2,coyote,Ontario_PrinceEdward,den,nw,1,0,0,0.159898477,0,female_male,0,0,1,0,0,1,0,0,1,0,0.42143999,1.885133317,-77.44468345,43.94194797
PEC074_PEC082_rend_2012,PEC074_PEC082,group2,coyote,Ontario_PrinceEdward,rend,nw,0,1,0,0.189104222,0,female_male,0,0,1,0,0,1,0,0,1,0,0.40065321,2.032124135,-77.44710336,43.93917854
PEC074_PEC082_winter_2011_2012,PEC074_PEC082,group2,coyote,Ontario_PrinceEdward,winter,winter,0,0,1,0.126767361,0,female_male,0,0,1,0,0,1,0,0,1,0,0.424793989,1.883077047,-77.44557306,43.94415811
