dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,Adult,Exploit,LargePred,Prey,Beaver,PackSize,Human,PCV,Long,Lat
M0904_M0906_winter_2009_2010,M0904_M0906,Fulufjellet,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.736111111,1,0,1,1,1,10,0.059220326,1.680254926,12.98576363,61.47466524
M1409_M1410_winter_2014_2015,M1409_M1410,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.742857143,1,0,0,1,1,10,0.094969143,1.464389112,11.36374181,61.39849066
M1409_M1410_winter_2013_2014,M1409_M1410,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.885185185,1,0,0,1,1,10,0.113851451,1.525947941,11.31525734,61.36073785
M1407_M1408_winter_2013_2014,M1407_M1408,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.338095704,0,0,0,1,1,10,0.098643131,1.477032253,11.30787466,61.36731035
M1406_M1407_winter_2013_2014,M1406_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.259994448,0,0,0,1,1,10,0.108260074,1.487387767,11.33722706,61.34484905
M1410_M1407_winter_2014_2015,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.472440945,0,0,0,1,1,10,0.103546734,1.488876656,11.3085014,61.37294074
M1409_M1408_winter_2013_2014,M1409_M1408,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.435294118,0,0,0,1,1,10,0.095656091,1.501035095,11.27161058,61.3949306
M1410_M1408_winter_2013_2014,M1410_M1408,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.710526316,0,0,0,1,1,10,0.097013178,1.506570745,11.25627714,61.38870681
M1410_M1407_winter_2013_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.269437729,0,0,0,1,1,10,0.106298473,1.5297486,11.30734104,61.37121199
M1409_M1407_winter_2013_2014,M1409_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,winter,winter,0,0,1,0.276190476,0,0,0,1,1,10,0.103524804,1.529836051,11.30199475,61.37657963
M1409_M1410_rend_2014,M1409_M1410,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,rend,nw,0,1,0,0.524590164,1,0,0,1,1,10,0.091197704,1.499170105,11.29841432,61.39464569
M1409_M1410_den_2014,M1409_M1410,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.449511401,1,0,0,1,1,10,0.079969757,1.602732495,11.30675708,61.40450224
M1410_M1407_rend_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,rend,nw,0,1,0,0.346559483,0,0,0,1,1,10,0.091147556,1.49967961,11.2873815,61.38177139
M1409_M1407_rend_2014,M1409_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,rend,nw,0,1,0,0.353233831,0,0,0,1,1,10,0.090781545,1.500500127,11.29186601,61.38695504
M1410_M1407_den_2014,M1410_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.204081633,0,0,0,1,1,10,0.087579628,1.531883931,11.32494902,61.36901889
M1409_M1407_den_2014,M1409_M1407,Julussa,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.083333333,0,0,0,1,1,10,0.087376731,1.601835071,11.29931571,61.35872351
M0904_M0906_den_2010,M0904_M0906,Fulufjellet,GW,wolf,1,0,0,0,Norway_Sweden,den,nw,1,0,0,0.425925926,1,0,1,1,1,10,0.079800615,1.710503243,12.983773,61.4292045
